Date,Value
2000-01-01,0.0
2000-01-02,0.14901424590336979
2000-01-03,0.07773210637134043
2000-01-04,0.2564922465272801
2000-01-05,0.6621027541442317
2000-01-06,0.4594361908983846
2000-01-07,0.2973078656339535
2000-01-08,0.7116101371593803
2000-01-09,0.7995185284733768
2000-01-10,0.4987725069982159
2000-01-11,0.5617860186743622
2000-01-12,0.3104035070957511
2000-01-13,0.10860387960552384
2000-01-14,0.15947178515422933
2000-01-15,-0.4464066452739559
2000-01-16,-0.8746006659730746
2000-01-17,-0.8683667915507516
2000-01-18,-0.9985427693409283
2000-01-19,-0.7045600156941605
2000-01-20,-0.8360552352116917
2000-01-21,-1.0925352985699408
2000-01-22,-0.4343336081794865
2000-01-23,-0.41519977668954994
2000-01-24,-0.3119013599452628
2000-01-25,-0.6769455438202473
2000-01-26,-0.7048712524137527
2000-01-27,-0.5306202250180424
2000-01-28,-0.7697942532411248
2000-01-29,-0.5031259970891984
2000-01-30,-0.5826924046470002
2000-01-31,-0.5536620486555832
2000-02-01,-0.6234416225932856
2000-02-02,0.05693015727805273
2000-02-03,0.041494958401062015
2000-02-04,-0.2841173119659205
2000-02-05,0.01946962405822028
2000-02-06,-0.35067739574473045
2000-02-07,-0.21788283809435777
2000-02-08,-0.7622073076394188
2000-02-09,-1.0082216607810641
2000-02-10,-0.7475189578641143
2000-02-11,-0.37647519229266835
2000-02-12,-0.24976966947714357
2000-02-13,-0.23451022029818702
2000-02-14,-0.27793928491533626
2000-02-15,-0.6659080250424972
2000-02-16,-0.7486796825524105
2000-02-17,-0.7371353773298646
2000-02-18,-0.272571633998217
2000-02-19,-0.11497182032803518
2000-02-20,-0.6208895028712483
2000-02-21,-0.3994864114785602
2000-02-22,-0.4351138133077431
2000-02-23,-0.5511676507379821
2000-02-24,-0.2574312339381254
2000-02-25,0.10335486959828497
2000-02-26,0.36206793141348753
2000-02-27,0.0378890881639985
2000-02-28,-0.06245244222416557
2000-02-29,0.049417075641736724
2000-03-01,0.3321971986500971
2000-03-02,0.12200548756649071
2000-03-03,0.04190669705404744
2000-03-04,-0.2983751345585705
2000-03-05,-0.5975620948710576
2000-03-06,-0.2342919291785867
2000-03-07,0.2194384652283775
2000-03-08,0.15394773570860187
2000-03-09,0.42421805793448875
2000-03-10,0.44786525386188125
2000-03-11,0.16475627670796777
2000-03-12,0.2402237030188984
2000-03-13,0.6535899323549095
2000-03-14,0.5121241341509422
2000-03-15,0.8790924040649556
2000-03-16,-0.0826496079749588
